player,turn,p1_draws,p2_draws,hand,stop_prob,draw_prob,visits
2,17,9,8,1-4-7-8,0.01282051282051282,0.9871794871794872,39
2,17,9,8,1-4-8-8,0.16666666666666666,0.8333333333333334,12
2,17,9,8,1-4-8-9,0.5,0.5,1
2,17,9,8,1-5-5-5,0.01051980198019802,0.989480198019802,1616
2,17,9,8,1-5-5-6,0.0031141868512110727,0.9968858131487889,1445
2,17,9,8,1-5-5-7,0.03009259259259259,0.9699074074074074,216
2,17,9,8,1-5-5-8,0.4473684210526316,0.5526315789473685,19
2,17,9,8,1-5-5-9,0.5,0.5,1
2,17,9,8,1-5-6-6,0.0013711151736745886,0.9986288848263254,1094
2,17,9,8,1-5-6-7,0.015424164524421594,0.9845758354755784,389
2,17,9,8,1-5-6-8,0.25,0.75,18
2,17,9,8,1-5-7-7,0.0472972972972973,0.9527027027027027,148
2,17,9,8,1-5-7-8,0.08333333333333333,0.9166666666666666,36
2,17,9,8,1-5-8-8,0.5,0.5,6
2,17,9,8,1-5-8-9,0.5,0.5,1
2,17,9,8,1-6-6-6,0.10689655172413794,0.8931034482758621,290
2,17,9,8,1-6-6-7,0.1806282722513089,0.819371727748691,191
2,17,9,8,1-6-6-8,0.35714285714285715,0.6428571428571429,7
2,17,9,8,1-6-7-7,0.20866141732283464,0.7913385826771654,127
2,17,9,8,1-6-7-8,0.4807692307692308,0.5192307692307693,26
2,17,9,8,1-6-8-8,0.375,0.625,8
2,17,9,8,1-7-7-7,0.2413793103448276,0.7586206896551724,29
2,17,9,8,1-7-7-8,0.5,0.5,12
2,17,9,8,1-7-7-9,0.5,0.5,2
2,17,9,8,1-7-8-8,0.5,0.5,7
2,17,9,8,1-7-8-9,0.5,0.5,1
2,17,9,8,2-2-2-2,0.0005324104884866232,0.9994675895115134,7513
2,17,9,8,2-2-2-3,0.00035123743650707876,0.9996487625634929,18506
2,17,9,8,2-2-2-4,0.0004090696587190276,0.999590930341281,8556
2,17,9,8,2-2-2-5,0.005212685103461799,0.9947873148965382,2400
2,17,9,8,2-2-2-6,0.022277227722772283,0.9777227722772277,505
2,17,9,8,2-2-2-7,0.045454545454545456,0.9545454545454546,77
2,17,9,8,2-2-2-8,0.2,0.8,5
2,17,9,8,2-2-3-3,2.0316118808662795e-05,0.9999796838811913,24611
2,17,9,8,2-2-3-4,5.904814392000945e-05,0.99994095185608,25403
2,17,9,8,2-2-3-5,0.0006054083142741827,0.9993945916857259,7433
2,17,9,8,2-2-3-6,0.0003324468085106383,0.9996675531914894,1504
2,17,9,8,2-2-3-7,0.009900990099009901,0.9900990099009901,202
2,17,9,8,2-2-3-8,0.14285714285714285,0.8571428571428571,14
2,17,9,8,2-2-3-9,0.5,0.5,1
2,17,9,8,2-2-4-4,0.0013704852300848924,0.998629514769915,10641
2,17,9,8,2-2-4-5,0.006896312725256446,0.9931036872747435,7214
2,17,9,8,2-2-4-6,0.0036496350364963502,0.9963503649635036,1507
2,17,9,8,2-2-4-7,0.11442786069651742,0.8855721393034826,201
2,17,9,8,2-2-4-8,0.5,0.5,12
2,17,9,8,2-2-4-9,0.5,0.5,1
2,17,9,8,2-2-5-5,0.00034494653328734045,0.9996550534667127,2899
2,17,9,8,2-2-5-6,0.009784735812133072,0.9902152641878669,1533
2,17,9,8,2-2-5-7,0.035555555555555556,0.9644444444444444,225
